Genre,Name,Platform,Publisher,Rating,Year of Release,Critic Count,Critic Score,EU Sales,Global Sales,JP Sales,JP Sales Text,NA Sales,Other Sales,User Count,User Score
Platform,Super Mario Land,G,Nintendo,,1989,,,2.71,18.14,4.18,$4 Million,10.83,0.42,,
Platform,Super Mario Bros. 3,NES,Nintendo,,1988,,,3.44,17.28,3.84,$4 Million,9.54,0.46,,
Action,Grand Theft Auto V,X360,Take-Two Interactive,M,2013,58,97,5.17,16.3,0.06,$0 Million,9.66,1.41,3722,8.1
Action,Grand Theft Auto: Vice City,PS2,Take-Two Interactive,M,2002,62,95,5.49,16.15,0.47,$0 Million,8.41,1.78,736,8.7
Role-Playing,Pokemon Ruby/Pokemon Sapphire,GBA,Nintendo,,2002,,,3.9,15.85,5.38,$5 Million,6.06,0.5,,
Puzzle,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,E,2005,37,77,5.35,15.29,5.32,$5 Million,3.43,1.18,19,7.1
Role-Playing,Pokemon Black/Pokemon White,DS,Nintendo,,2010,,,3.18,15.14,5.66,$6 Million,5.51,0.8,,
Racing,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,E,2001,54,95,5.09,14.98,1.87,$2 Million,6.85,1.16,314,8.4
Role-Playing,Pokemon X/Pokemon Y,3DS,Nintendo,,2013,,,4.37,14.92,4.36,$4 Million,5.39,0.8,,
Shooter,Call of Duty: Black Ops 3,PS4,Activision,,2015,,,5.95,14.8,0.36,$0 Million,6.08,2.41,,
Shooter,Call of Duty: Modern Warfare 3,X360,Activision,M,2011,81,88,4.26,14.77,0.13,$0 Million,9.06,1.33,8715,3.4
Shooter,Call of Duty: Black Ops,X360,Activision,M,2010,89,87,3.7,14.67,0.11,$0 Million,9.73,1.13,1456,6.3
Role-Playing,Pok\xc3\xa9mon Yellow: Special Pikachu Edition,G,Nintendo,,1998,,,5.04,14.64,3.12,$3 Million,5.89,0.59,,
Shooter,Call of Duty: Black Ops II,PS3,Activision,M,2012,21,83,5.73,13.79,0.65,$1 Million,4.99,2.42,921,5.3
Shooter,Call of Duty: Black Ops II,X360,Activision,M,2012,73,83,4.26,13.69,0.07,$0 Million,8.25,1.12,2261,4.8
Shooter,Call of Duty: Modern Warfare 2,X360,Activision,M,2009,100,94,3.6,13.48,0.08,$0 Million,8.52,1.28,2702,6.3
Action,Grand Theft Auto V,PS4,Take-Two Interactive,M,2014,66,97,6.77,13.36,0.39,$0 Million,4.12,2.08,2955,8.3
Shooter,Call of Duty: Modern Warfare 3,PS3,Activision,M,2011,39,88,5.73,13.32,0.49,$0 Million,5.54,1.57,5237,3.2
Action,Grand Theft Auto III,PS2,Take-Two Interactive,M,2001,56,97,4.51,13.1,0.3,$0 Million,6.99,1.3,667,8.5
Racing,Mario Kart 7,3DS,Nintendo,E,2011,73,85,4.19,13.04,2.7,$3 Million,5.2,0.94,633,8.2
Fighting,Super Smash Bros. Brawl,Wii,Nintendo,T,2008,81,93,2.56,12.87,2.66,$3 Million,6.64,1.01,1667,8.9
Shooter,Call of Duty: Black Ops,PS3,Activision,M,2010,58,88,4.37,12.64,0.48,$0 Million,6,1.8,1095,6.4
Simulation,Animal Crossing: Wild World,DS,Nintendo,E,2005,57,86,3.45,12.13,5.33,$5 Million,2.5,0.86,243,8.6
Shooter,Halo 3,X360,Microsoft Game Studios,M,2007,86,94,2.81,12.12,0.13,$0 Million,7.97,1.21,4109,7.8
Role-Playing,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,,2014,,,3.64,11.95,3.1,$3 Million,4.45,0.76,,
Platform,Super Mario 64,N64,Nintendo,,1996,,,2.85,11.89,1.91,$2 Million,6.91,0.23,,
Action,Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,,2009,,,2.71,11.77,3.96,$4 Million,4.34,0.76,,
Racing,Gran Turismo 4,PS2,Sony Computer Entertainment,E,2004,74,89,0.01,11.66,1.1,$1 Million,3.01,7.53,273,8.5
Role-Playing,Pokemon Sun/Moon,3DS,Nintendo,,2016,,,2.74,11.4,2.88,$3 Million,5.01,0.77,,
Platform,Super Mario Galaxy,Wii,Nintendo,E,2007,73,97,3.36,11.36,1.2,$1 Million,6.06,0.74,2159,8.9
Adventure,Super Mario Land 2: 6 Golden Coins,G,Nintendo,,1992,,,2.04,11.18,2.69,$3 Million,6.16,0.29,,
Action,Grand Theft Auto IV,X360,Take-Two Interactive,M,2008,86,98,3.07,11.01,0.14,$0 Million,6.77,1.03,2958,7.9
Racing,Gran Turismo,PS,Sony Computer Entertainment,E,1997,16,96,3.87,10.95,2.54,$3 Million,4.02,0.52,140,8.8
Platform,Super Mario 3D Land,3DS,Nintendo,E,2011,82,90,3.05,10.87,2.14,$2 Million,4.89,0.78,925,8.4
Racing,Gran Turismo 5,PS3,Sony Computer Entertainment,E,2010,82,84,4.82,10.7,0.81,$1 Million,2.96,2.11,1115,7.5
Shooter,Call of Duty: Modern Warfare 2,PS3,Activision,M,2009,67,94,3.64,10.6,0.38,$0 Million,4.99,1.6,2077,6.3
Platform,Super Mario All-Stars,SNES,Nintendo,,1993,,,2.15,10.55,2.12,$2 Million,5.99,0.29,,
Action,Grand Theft Auto IV,PS3,Take-Two Interactive,M,2008,64,98,3.7,10.51,0.44,$0 Million,4.77,1.61,2849,7.5
Role-Playing,Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo,,2004,,,2.65,10.49,3.15,$3 Million,4.34,0.35,,
Platform,Super Mario 64,DS,Nintendo,,2004,,,3.07,10.31,1.25,$1 Million,5.01,0.97,,
Shooter,Call of Duty: Ghosts,X360,Activision,M,2013,29,73,2.58,10.28,0.04,$0 Million,6.75,0.91,2118,2.6
Misc,Just Dance 3,Wii,Ubisoft,E10+,2011,15,74,3.11,10.12,0,$0 Million,5.95,1.06,16,7.8
Platform,New Super Mario Bros. 2,3DS,Nintendo,E,2012,70,78,3.27,10.05,2.49,$2 Million,3.66,0.63,425,7.2
Shooter,Halo: Reach,X360,Microsoft Game Studios,M,2010,99,91,1.97,9.9,0.08,$0 Million,7.06,0.79,2053,7.9
Racing,Mario Kart 64,N64,Nintendo,,1996,,,1.94,9.87,2.23,$2 Million,5.55,0.15,,
Shooter,Halo 4,X360,Microsoft Game Studios,M,2012,87,87,2.3,9.77,0.04,$0 Million,6.68,0.74,3273,7
Role-Playing,Final Fantasy VII,PS,Sony Computer Entertainment,T,1997,20,92,2.47,9.72,3.28,$3 Million,3.01,0.96,1297,9.2
Racing,Gran Turismo 2,PS,Sony Computer Entertainment,T,1999,23,93,3.42,9.49,1.69,$2 Million,3.88,0.5,135,9
Misc,Just Dance 2,Wii,Ubisoft,E10+,2010,24,74,2.85,9.44,0.01,$0 Million,5.8,0.78,24,7.3
Shooter,Call of Duty: Ghosts,PS3,Activision,M,2013,10,71,3.63,9.37,0.38,$0 Million,4.1,1.26,1049,2.6
Shooter,Call of Duty 4: Modern Warfare,X360,Activision,M,2007,70,94,2.37,9.35,0.13,$0 Million,5.95,0.9,1322,8.4
Simulation,Animal Crossing: New Leaf,3DS,Nintendo,E,2012,70,88,2.43,9.34,4.43,$4 Million,2.08,0.4,628,8.7
Platform,Donkey Kong Country,SNES,Nintendo,,1994,,,1.71,9.3,3,$3 Million,4.36,0.23,,
Misc,Minecraft,X360,Microsoft Game Studios,,2013,,,2.7,9.3,0.02,$0 Million,5.76,0.82,,
Sports,FIFA 17,PS4,Electronic Arts,E,2016,41,85,6.75,9.07,0.09,$0 Million,0.9,1.33,442,4.9
Misc,Mario Party DS,DS,Nintendo,E,2007,27,72,1.85,8.91,1.98,$2 Million,4.4,0.68,85,7.8
Role-Playing,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,M,2011,89,96,2.8,8.84,0.1,$0 Million,5.08,0.86,3602,8.4
Racing,Super Mario Kart,SNES,Nintendo,,1992,,,1.24,8.76,3.81,$4 Million,3.54,0.18,,
Sports,FIFA 16,PS4,Electronic Arts,E,2015,42,82,6.13,8.6,0.06,$0 Million,1.13,1.28,902,4.3
Shooter,Halo 2,X,Microsoft Game Studios,M,2004,91,95,1.53,8.49,0.05,$0 Million,6.82,0.08,1224,8.2
Misc,Wii Party,Wii,Nintendo,E,2010,42,68,3.48,8.39,2.49,$2 Million,1.75,0.67,55,7.5
Misc,Mario Party 8,Wii,Nintendo,E,2007,41,62,2.25,8.28,1.58,$2 Million,3.74,0.71,191,6.3
Shooter,Star Wars Battlefront (2015),PS4,Electronic Arts,,2015,,,3.56,8.21,0.22,$0 Million,3.11,1.32,,
Action,FIFA Soccer 13,PS3,Electronic Arts,E,2012,37,88,5.01,8.17,0.13,$0 Million,1.07,1.97,350,6.5
Shooter,GoldenEye 007,N64,Nintendo,,1997,,,2.01,8.09,0.13,$0 Million,5.8,0.15,,
Role-Playing,Pokemon Black 2/Pokemon White 2,DS,Nintendo,,2012,,,1.72,8.08,3.15,$3 Million,2.79,0.41,,
Role-Playing,Final Fantasy X,PS2,Sony Computer Entertainment,T,2001,53,92,2.07,8.05,2.73,$3 Million,2.91,0.33,1077,8.7
Simulation,The Sims 3,PC,Electronic Arts,T,2009,75,86,6.42,8.01,0,$0 Million,0.99,0.6,894,7.6
Sports,Mario & Sonic at the Olympic Games,Wii,Sega,,2007,,,3.86,7.99,0.66,$1 Million,2.57,0.91,,
Role-Playing,Final Fantasy VIII,PS,SquareSoft,T,1999,24,90,1.72,7.86,3.63,$4 Million,2.28,0.23,658,8.6
Puzzle,Pac-Man,2600,Atari,,1982,,,0.45,7.81,0,$0 Million,7.28,0.08,,
Role-Playing,Pok\xc3\xa9mon Platinum Version,DS,Nintendo,E,2008,46,83,1.72,7.72,2.69,$3 Million,2.76,0.54,204,8.5
Action,Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,M,2005,65,88,2.81,7.69,0.24,$0 Million,2.9,1.73,453,7.6
Shooter,Call of Duty: Advanced Warfare,PS4,Activision,M,2014,39,83,3.48,7.68,0.14,$0 Million,2.83,1.24,1446,5.7
Fighting,Super Smash Bros. for Wii U and 3DS,3DS,Nintendo,,2014,,,1.4,7.62,2.44,$2 Million,3.3,0.48,,
Action,The Legend of Zelda: Ocarina of Time,N64,Nintendo,,1998,,,1.89,7.6,1.45,$1 Million,4.1,0.16,,
Platform,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,,1997,,,2.17,7.58,1.31,$1 Million,3.78,0.31,,
Platform,Super Mario Galaxy 2,Wii,Nintendo,E,2010,87,97,2.36,7.54,0.98,$1 Million,3.58,0.62,1859,9.1
Platform,Super Mario Bros. 2,NES,Nintendo,,1988,,,1.18,7.46,0.7,$1 Million,5.39,0.19,,
Shooter,Call of Duty: Black Ops 3,XOne,Activision,,2015,,,2.12,7.44,0.02,$0 Million,4.62,0.69,,
Shooter,Call of Duty: World at War,X360,Activision,M,2008,84,84,1.9,7.42,0,$0 Million,4.83,0.7,583,7.6
Role-Playing,Fallout 4,PS4,Bethesda Softworks,M,2015,58,87,3.42,7.41,0.24,$0 Million,2.58,1.17,4258,6.5
Shooter,Battlefield 3,X360,Electronic Arts,M,2011,57,84,2.11,7.33,0.06,$0 Million,4.47,0.69,2144,7.4
Shooter,Uncharted 4: A Thiefs End,PS4,Sony Computer Entertainment,T,2016,113,93,2.98,7.28,0.19,$0 Million,2.92,1.18,7238,7.9
Racing,Mario Kart 8,WiiU,Nintendo,E,2014,82,88,2.25,7.23,1.29,$1 Million,3.17,0.52,1607,9.1
Racing,Need for Speed Underground,PS2,Electronic Arts,E,2003,33,85,2.83,7.2,0.08,$0 Million,3.27,1.02,172,8.6
Misc,Just Dance,Wii,Ubisoft,E10+,2009,21,49,2.99,7.2,0,$0 Million,3.48,0.73,110,8
Shooter,Battlefield 3,PS3,Electronic Arts,M,2011,38,85,2.89,7.18,0.35,$0 Million,2.86,1.08,1762,7.5
Fighting,Tekken 3,PS,Sony Computer Entertainment,T,1998,15,96,2.22,7.16,1.4,$1 Million,3.27,0.29,371,9.1
Action,The Legend of Zelda: Twilight Princess,Wii,Nintendo,T,2006,73,95,2.14,7.16,0.6,$1 Million,3.74,0.68,1664,9
Platform,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,E,1998,12,91,1.75,7.13,1.42,$1 Million,3.68,0.28,439,8.9
Fighting,Super Smash Bros. Melee,GC,Nintendo,T,2001,38,92,1.04,7.07,1.39,$1 Million,4.41,0.22,573,9.1
Racing,Mario Kart: Double Dash!!,GC,Nintendo,,2003,,,1.77,6.95,0.87,$1 Million,4.12,0.19,,
Racing,Need for Speed Underground 2,PS2,Electronic Arts,E,2004,39,82,3.02,6.9,0.08,$0 Million,2.71,1.09,132,8.6
Shooter,Medal of Honor: Frontline,PS2,Electronic Arts,T,2002,29,88,2.75,6.83,0.17,$0 Million,2.93,0.99,137,8.5
Platform,Crash Bandicoot,PS,Sony Computer Entertainment,,1996,,,2.35,6.82,0.94,$1 Million,3.23,0.3,,
Misc,Just Dance 4,Wii,Ubisoft,E10+,2012,10,74,2.16,6.76,0,$0 Million,4.05,0.55,29,7.2
Shooter,Gears of War 2,X360,Microsoft Game Studios,M,2008,90,93,1.9,6.75,0.06,$0 Million,4.15,0.64,2746,7.7
Action,Uncharted 3: Drakes Deception,PS3,Sony Computer Entertainment,T,2011,97,92,2.75,6.74,0.19,$0 Million,2.77,1.03,3732,8.3
Sports,Zumba Fitness,Wii,505 Games,E,2010,,,2.6,6.72,0,$0 Million,3.46,0.66,,
Shooter,Call of Duty 4: Modern Warfare,PS3,Activision,M,2007,44,94,2.26,6.69,0.28,$0 Million,3.11,1.03,994,8.4
Action,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,T,2009,105,96,2.2,6.67,0.21,$0 Million,3.27,0.98,5226,8.8
Sports,FIFA 12,PS3,Electronic Arts,,2011,,,4.3,6.65,0.11,$0 Million,0.84,1.4,,
Misc,Big Brain Academy,DS,Nintendo,E,2005,45,74,2.75,6.63,1.6,$2 Million,1.66,0.62,27,7.4
Action,The Legend of Zelda,NES,Nintendo,,1986,,,0.93,6.51,1.69,$2 Million,3.74,0.14,,
Action,Red Dead Redemption,PS3,Take-Two Interactive,M,2010,73,95,2.53,6.51,0.17,$0 Million,2.8,1,2475,8.9
Sports,FIFA 14,PS3,Electronic Arts,E,2013,37,86,4.24,6.48,0.07,$0 Million,0.79,1.38,576,4.3
Platform,Donkey Kong Country Returns,Wii,Nintendo,E,2010,77,87,1.8,6.47,1.03,$1 Million,3.18,0.46,368,8.6
Action,Assassins Creed III,PS3,Ubisoft,M,2012,41,85,2.52,6.46,0.16,$0 Million,2.65,1.12,1314,6.9
Shooter,Halo: Combat Evolved,X,Microsoft Game Studios,M,2001,68,97,1.3,6.43,0.08,$0 Million,4.98,0.07,1292,8.6
Role-Playing,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,M,2011,16,92,2.61,6.42,0.25,$0 Million,2.56,1,2530,6.4
Role-Playing,Pok\xc3\xa9mon Emerald Version,GBA,Nintendo,E,2004,28,76,1.58,6.41,2.06,$2 Million,2.57,0.21,223,9
Role-Playing,Kingdom Hearts,PS2,Sony Computer Entertainment,E,2002,46,85,1.2,6.4,1.49,$1 Million,3.64,0.07,610,8.8
Role-Playing,Pok\xc3\xa9mon Crystal Version,G,Nintendo,,2000,,,1.56,6.39,1.29,$1 Million,2.55,0.99,,
Action,Red Dead Redemption,X360,Take-Two Interactive,M,2010,96,95,1.97,6.35,0.09,$0 Million,3.71,0.58,2327,9
Shooter,Halo 3: ODST,X360,Microsoft Game Studios,M,2009,94,83,1.34,6.34,0.06,$0 Million,4.34,0.61,1166,7.1
Platform,Super Mario Sunshine,GC,Nintendo,E,2002,61,92,1.26,6.31,0.87,$1 Million,4.01,0.17,444,8.6
Role-Playing,World of Warcraft,PC,Activision,T,2004,57,93,6.22,6.31,0,$0 Million,0.09,0,2199,7.3
Fighting,Street Fighter II: The World Warrior,SNES,Capcom,,1992,,,0.83,6.3,2.87,$3 Million,2.47,0.12,,
Action,Driver,PS,GT Interactive,T,1999,22,87,2.8,6.27,0.02,$0 Million,3.11,0.33,81,8
Shooter,Gears of War 3,X360,Microsoft Game Studios,M,2011,96,91,1.59,6.21,0.07,$0 Million,4.05,0.5,1510,7.8
Sports,Kinect Sports,X360,Microsoft Game Studios,E10+,2010,51,73,1.73,6.19,0.03,$0 Million,3.92,0.51,95,7.4
Shooter,Gears of War,X360,Microsoft Game Studios,M,2006,88,94,1.88,6.09,0.07,$0 Million,3.54,0.6,2301,8.3
Sports,FIFA 15,PS4,Electronic Arts,E,2014,47,82,4.33,6.08,0.05,$0 Million,0.8,0.91,993,5.7
Action,Metal Gear Solid 2: Sons of Liberty,PS2,Konami Digital Entertainment,M,2001,42,96,2.01,6.05,0.87,$1 Million,2.45,0.72,1035,8.7
Platform,Sonic the Hedgehog 2,GEN,Sega,,1992,,,1.2,6.03,0.16,$0 Million,4.47,0.19,,
Action,Metal Gear Solid,PS,Konami Digital Entertainment,M,1998,20,94,1.83,6.03,0.78,$1 Million,3.18,0.24,934,9.4
Action,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami Digital Entertainment,M,2008,82,94,1.71,5.99,0.83,$1 Million,2.63,0.82,3575,8.7
Role-Playing,Final Fantasy XII,PS2,Square Enix,T,2006,64,92,0,5.95,2.33,$2 Million,1.88,1.74,982,7.7
Action,The Last of Us,PS3,Sony Computer Entertainment Europe,M,2013,98,95,2.19,5.89,0.29,$0 Million,2.41,0.99,8039,9.1
Platform,LittleBigPlanet,PS3,Sony Computer Entertainment,E,2008,85,95,1.98,5.82,0.17,$0 Million,2.8,0.87,5319,6.8
Action,Resident Evil 2,PS,Virgin Interactive,M,1998,13,89,1.47,5.82,2.02,$2 Million,1.88,0.45,369,9.2
Shooter,Call of Duty: Infinite Warfare,PS4,Activision,M,2016,86,77,2.57,5.8,0.16,$0 Million,2.15,0.93,1208,3.5
Role-Playing,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,E10+,2009,65,87,0.67,5.78,4.35,$4 Million,0.63,0.15,202,8.8
Fighting,Tekken 2,PS,Sony Computer Entertainment,T,1996,8,89,1.89,5.74,1.36,$1 Million,2.26,0.23,102,8.9
Action,Grand Theft Auto V,XOne,Take-Two Interactive,M,2014,14,97,2.32,5.74,0,$0 Million,2.93,0.49,774,7.9
Shooter,Destiny,PS4,Activision,T,2014,95,76,2.07,5.66,0.16,$0 Million,2.5,0.93,5389,6.1
Action,LEGO Star Wars: The Complete Saga,Wii,LucasArts,E10+,2007,17,80,1.56,5.64,0,$0 Million,3.57,0.51,62,8.9
Simulation,Cooking Mama,DS,505 Games,E,2006,35,67,1.91,5.64,0.07,$0 Million,3.08,0.57,21,7.2
Puzzle,Tetris,NES,Nintendo,,1988,,,0.69,5.58,1.81,$2 Million,2.97,0.11,,
Fighting,Super Smash Bros.,N64,Nintendo,,1999,,,0.6,5.55,1.97,$2 Million,2.95,0.04,,
Action,Assassins Creed II,PS3,Ubisoft,M,2009,70,91,1.93,5.55,0.21,$0 Million,2.54,0.86,1212,8.6
Adventure,Assassins Creed,X360,Ubisoft,M,2007,77,81,1.64,5.54,0.07,$0 Million,3.28,0.56,1084,7.7
Racing,Forza Motorsport 3,X360,Microsoft Game Studios,E,2009,90,92,1.9,5.49,0.1,$0 Million,2.99,0.5,516,8
Platform,Super Mario Advance,GBA,Nintendo,E,2001,19,84,1.24,5.49,0.91,$1 Million,3.14,0.2,42,7.8
Action,Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,T,2011,42,96,1.85,5.48,0.11,$0 Million,2.71,0.81,2174,8.6
Role-Playing,Monster Hunter Freedom Unite,PSP,Capcom,T,2008,48,81,0.55,5.48,4.13,$4 Million,0.47,0.34,124,8.7
Racing,Mario Kart: Super Circuit,GBA,Nintendo,E,2001,24,93,1.64,5.47,0.99,$1 Million,2.62,0.23,108,8.3
Platform,Super Mario World,GBA,Nintendo,,2001,,,1.11,5.46,0.95,$1 Million,3.21,0.2,,
Strategy,Pokemon Stadium,N64,Nintendo,,1999,,,1.24,5.45,0.94,$1 Million,3.18,0.09,,
Platform,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,E,2001,22,66,2.29,5.42,0.24,$0 Million,2.07,0.82,161,7.1
Misc,Minecraft,PS3,Sony Computer Entertainment,,2014,,,2.42,5.41,0,$0 Million,2.1,0.89,,
Shooter,Call of Duty: World at War,PS3,Activision,M,2008,45,85,1.83,5.4,0,$0 Million,2.73,0.83,410,7.6
Simulation,Tomodachi Life,3DS,Nintendo,E,2013,52,71,2.23,5.39,1.91,$2 Million,0.99,0.25,156,7.6
Puzzle,Dr. Mario,G,Nintendo,,1989,,,0.96,5.34,2,$2 Million,2.18,0.2,,
Role-Playing,Final Fantasy XIII,PS3,Square Enix,T,2009,83,83,1.21,5.34,1.87,$2 Million,1.75,0.51,2506,7.2
Misc,Pokemon Pinball,G,Nintendo,,1999,,,1.12,5.31,1.01,$1 Million,3.02,0.16,,
Role-Playing,Final Fantasy IX,PS,SquareSoft,T,2000,22,94,0.77,5.3,2.78,$3 Million,1.62,0.14,792,8.9
Shooter,Battlefield 1,PS4,Electronic Arts,M,2016,33,89,2.81,5.3,0.23,$0 Million,1.45,0.81,896,8.4
Platform,New Super Mario Bros. U,WiiU,Nintendo,E,2012,70,84,1.4,5.29,1.28,$1 Million,2.3,0.32,734,8.1
Action,Assassins Creed III,X360,Ubisoft,M,2012,61,84,1.69,5.29,0.03,$0 Million,3.13,0.44,1204,6.8
Role-Playing,Final Fantasy X-2,PS2,Electronic Arts,T,2003,45,85,1.08,5.29,2.11,$2 Million,1.92,0.17,404,6.6
Shooter,Call of Duty: Advanced Warfare,XOne,Activision,M,2014,53,81,1.55,5.28,0.01,$0 Million,3.24,0.48,900,5.4
Platform,Donkey Kong 64,N64,Nintendo,,1999,,,0.79,5.27,1.09,$1 Million,3.33,0.06,,
Action,Assassins Creed II,X360,Ubisoft,M,2009,82,90,1.55,5.27,0.08,$0 Million,3.12,0.52,1320,8.8
Action,Tomb Raider II,PS,Eidos Interactive,T,1997,13,85,2.46,5.24,0.2,$0 Million,2.3,0.28,,
Sports,Madden NFL 2004,PS2,Electronic Arts,E,2003,29,94,0.26,5.23,0.01,$0 Million,4.26,0.71,140,8.5
Role-Playing,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,T,2004,63,89,0.75,5.21,3.61,$4 Million,0.65,0.2,249,8.8
Platform,Super Mario Bros. 3,GBA,Nintendo,,2003,,,1.25,5.2,0.83,$1 Million,2.93,0.2,,
Puzzle,Professor Layton and the Curious Village,DS,Nintendo,E,2007,72,85,2.43,5.19,1.03,$1 Million,1.21,0.52,149,8.6
Platform,Super Mario Land 3: Wario Land,G,Nintendo,,1994,,,0.98,5.19,1.57,$2 Million,2.49,0.15,,
Action,FIFA Soccer 13,X360,Electronic Arts,E,2012,48,90,3.47,5.17,0.03,$0 Million,1.09,0.58,404,6.1
Role-Playing,Diablo III,PC,Activision,M,2012,86,88,2.17,5.17,0,$0 Million,2.45,0.54,9643,4
Platform,Donkey Kong Country 2: Diddys Kong Quest,SNES,Nintendo,,1995,,,0.74,5.15,2.2,$2 Million,2.1,0.11,,
Shooter,Medal of Honor: Rising Sun,PS2,Electronic Arts,T,2003,30,68,2.23,5.13,0.13,$0 Million,1.98,0.8,100,7.6
Platform,Kirbys Dream Land,G,Nintendo,,1992,,,0.61,5.13,1.7,$2 Million,2.71,0.11,,
Simulation,Microsoft Flight Simulator,PC,Microsoft Game Studios,,1996,,,1.69,5.12,0,$0 Million,3.22,0.2,,
Misc,Guitar Hero II,PS2,RedOctane,T,2006,69,92,0.63,5.12,0,$0 Million,3.81,0.68,113,8.5
Role-Playing,Fable III,X360,Microsoft Game Studios,M,2010,88,80,1.08,5.1,0.05,$0 Million,3.59,0.38,608,6.5
Sports,Mario & Sonic at the Olympic Games,DS,Sega,,2008,,,2.45,5.09,0.44,$0 Million,1.63,0.57,,
Action,Resident Evil 5,PS3,Capcom,M,2009,76,84,1.41,5.09,1.08,$1 Million,1.96,0.64,671,7.5
Action,The Legend of Zelda: Phantom Hourglass,DS,Nintendo,E,2007,57,90,1.8,5.08,0.95,$1 Million,1.85,0.48,418,8
Sports,FIFA Soccer 11,PS3,Electronic Arts,E,2010,51,89,3.28,5.07,0.06,$0 Million,0.61,1.12,233,8
Platform,Super Mario Bros.,G,Nintendo,,1999,,,1.3,5.07,0.15,$0 Million,3.4,0.22,,
Action,The Last of Us,PS4,Sony Computer Entertainment,,2014,,,2.12,5.06,0.07,$0 Million,2.04,0.83,,
Action,Resident Evil,PS,Virgin Interactive,M,1996,8,91,1.16,5.05,1.11,$1 Million,2.05,0.73,268,9
Action,Grand Theft Auto: Vice City Stories,PSP,Take-Two Interactive,M,2006,50,86,1.99,5.03,0.16,$0 Million,1.7,1.19,152,8
